id,date_in,date_out,name,type,breed,color,age_out,outcome_type,intake_type,intake_condition,sex_upon_intake,age_in,outcome_subtype,sex_upon_outcome
A759020,2017-09-25,2017-10-02,N/A,Dog,Chihuahua Shorthair Mix,Brown,Adult,Transferred,Stray,Normal,Intact Female,3 years,Partner,Intact Female
A694443,2014-12-28,2015-01-01,Shadoe,Dog,Dalmatian,White,Baby,Adopted,Stray,Normal,Spayed Female,8 months,NA,Spayed Female
A811025,2019-12-26,2019-12-30,N/A,Dog,Plott Hound Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Male,1 month,NA,Neutered Male
A729193,2016-06-14,2016-06-19,Bailey,Dog,Pit Bull/Labrador Retriever,White,Baby,Adopted,Stray,Normal,Intact Female,4 months,NA,Spayed Female
A689834,2014-10-10,2014-10-18,Alex,Dog,American Foxhound/Pointer,White,Baby,Adopted,Stray,Normal,Intact Male,5 months,NA,Neutered Male
A749778,2017-05-19,2017-06-06,N/A,Dog,Australian Shepherd Mix,Black,Baby,Adopted,Stray,Normal,Intact Male,1 month,Foster,Neutered Male
A784960,2018-11-23,2019-01-02,Frank,Dog,Chow Chow/Golden Retriever,Red,Baby,Adopted,Stray,Normal,Intact Male,9 months,NA,Neutered Male
A684031,2014-07-18,2014-08-30,Sawyer,Cat,Domestic Shorthair Mix,Orange,Baby,Adopted,Stray,Normal,Intact Male,1 month,Foster,Neutered Male
A787873,2019-01-21,2019-01-24,Baby,Dog,German Shepherd/Alaskan Husky,White,Young,Returned to Owner,Owner Surrender,Normal,Spayed Female,2 years,NA,Spayed Female
A782127,2018-10-10,2018-12-13,Jasper,Cat,Domestic Shorthair Mix,Black,Baby,Adopted,Stray,Normal,Intact Male,1 weeks,NA,Neutered Male
A751102,2017-06-04,2017-06-04,Ruex,Dog,Labrador Retriever Mix,Black,Adult,Returned to Owner,Stray,Normal,Intact Male,3 years,NA,Intact Male
A693674,2014-12-12,2015-01-23,Shirley,Dog,Boxer Mix,Brown,Young,Adopted,Stray,Normal,Intact Female,1 year,NA,Spayed Female
A794415,2019-05-08,2019-06-14,Gordie,Cat,Domestic Shorthair,Orange,Baby,Adopted,Stray,Injured,Intact Male,2 months,NA,Neutered Male
A721364,2016-02-25,2016-02-25,Harley,Dog,Boxer Mix,Black,Young,Returned to Owner,Stray,Normal,Neutered Male,1 year,NA,Neutered Male
A670294,2014-01-05,2014-01-10,Melvin,Cat,Domestic Medium Hair Mix,Orange,Young,Transferred,Stray,Normal,Intact Male,2 years,SCRP,Intact Male
A602564,2017-07-26,2017-07-26,Shorty,Dog,Chihuahua Shorthair Mix,Cream,Adult,Returned to Owner,Stray,Normal,Neutered Male,7 years,NA,Neutered Male
